tuoi,chieu_cao,so_tran,ban_thang,kien_tao,so_phut_tren_ban,so_phut,danh_hieu,Centre_Forward,Central_Midfield,Left_Winger,Attacking_Midfield,Right_Winger,Defensive_Midfield,Second_Striker,Centre_Back,Right_Back,Left_Back ,Goalkeeper,Right_Midfield,Left_Midfield,value_club,value
24,1.94,46,2,2,1972,3943,0,0,0,0,0,0,0,0,1,0,0,0,0,0,421.85,30
22,1.77,41,18,6,145,2603,2,0,0,0,1,0,0,0,0,0,0,0,0,0,280.15,30
23,1.8,34,0,3,0,2782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,309.95,30
24,1.86,46,3,0,1317,3950,1,0,0,0,0,0,0,0,1,0,0,0,0,0,317.15,30
23,1.83,37,2,3,782,1565,2,1,0,0,0,0,0,0,0,0,0,0,0,0,398.7,30
24,1.78,39,10,4,260,2596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,309.95,30
21,1.9,32,1,1,867,867,6,0,1,0,0,0,0,0,0,0,0,0,0,0,979.7,30
22,1.79,43,10,3,321,3213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,332.65,30
18,1.79,34,7,6,222,1555,5,1,0,0,0,0,0,0,0,0,0,0,0,0,547.7,30
22,1.75,45,12,5,322,3869,2,0,1,0,0,0,0,0,0,0,0,0,0,0,183,30
23,1.78,39,5,7,649,3244,2,0,0,0,1,0,0,0,0,0,0,0,0,0,332.65,30
24,1.73,50,20,14,207,4140,6,0,0,0,0,0,0,0,0,0,0,0,0,0,234.5,30
25,1.74,31,15,6,120,1799,1,0,0,1,0,0,0,1,0,0,0,0,0,0,329.5,30
23,1.82,42,7,3,255,1788,6,0,0,0,0,0,0,0,0,0,0,0,0,0,767,30
22,1.77,40,2,3,1278,2557,5,0,0,0,1,0,0,0,0,0,0,0,0,0,318,30
26,1.8,36,7,4,248,1734,2,0,1,0,0,0,0,0,0,0,0,0,0,0,882.55,30
25,1.83,33,7,3,409,2861,0,0,0,0,0,0,1,0,0,0,0,0,0,0,329.5,30
26,1.84,45,16,6,205,3275,2,0,0,0,1,0,0,0,0,0,0,0,0,0,294.45,30
23,1.86,43,3,6,989,2968,2,0,1,0,0,0,0,0,0,0,0,0,0,0,494.3,30
30,1.85,3,0,0,0,205,2,0,0,0,0,0,0,0,1,0,0,0,0,0,437,30
26,1.84,44,10,7,307,3068,0,0,0,1,1,0,0,0,0,0,0,0,0,0,376,30
27,1.88,46,0,1,0,3634,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1050,30
25,1.85,47,0,1,0,3460,2,0,0,0,0,0,1,0,0,0,0,0,0,0,420.7,30
26,1.88,30,0,1,0,2035,6,0,0,0,0,0,0,0,1,0,0,0,0,0,879,30
26,1.76,36,4,1,685,2739,5,0,1,0,0,0,0,0,0,0,0,0,0,0,443.1,30
27,1.91,23,4,1,383,1532,5,1,0,0,0,0,0,0,0,0,0,0,0,0,421.85,30
28,1.72,42,5,13,695,3473,5,0,0,0,1,0,0,0,0,0,0,0,0,0,279.3,30
29,1.77,36,16,8,147,2348,6,0,0,0,0,0,0,1,0,0,0,0,0,0,317.15,30
29,1.73,20,6,3,196,1176,3,0,0,0,1,0,0,0,0,0,0,0,0,0,252.5,30
27,1.87,29,1,1,2109,2109,6,0,0,0,0,0,0,0,1,0,0,0,0,0,767,30
28,1.88,31,3,3,814,2442,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1050,30
28,1.88,46,11,6,367,4038,6,0,1,0,0,0,0,0,0,0,0,0,0,0,420.7,30
28,1.85,38,9,6,358,3222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184.1,30
28,1.91,21,9,5,150,1353,5,1,0,0,0,0,0,0,0,0,0,0,0,0,547.7,30
31,1.8,27,11,5,147,1620,2,1,0,0,0,0,0,0,0,0,0,0,0,0,278.2,30
28,1.89,22,0,1,0,1771,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1050,30
32,1.79,45,15,13,192,2887,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1050,30
28,1.72,38,8,11,293,2345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,890,30
23,1.75,37,0,2,0,2921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,309.95,28
23,1.87,36,3,8,763,2290,1,0,0,0,0,0,0,0,1,0,0,0,0,0,487.3,28
23,1.73,35,0,3,0,2698,3,0,0,0,0,0,1,0,0,0,0,0,0,0,324.2,28
23,1.82,36,9,4,254,2285,2,0,0,0,1,0,0,0,0,0,0,0,0,0,294.45,28
20,1.85,29,7,2,141,989,2,0,0,1,1,0,0,0,0,0,0,0,0,0,547.7,28
21,1.82,19,3,0,316,948,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1020,28
25,1.8,39,12,4,204,2453,2,0,0,0,0,0,0,0,0,0,0,0,0,0,236.3,28
23,1.71,38,9,7,316,2848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,318.6,28
23,1.9,27,5,4,304,1522,2,0,0,0,1,0,0,0,0,0,0,0,0,0,176.43,28
29,1.85,41,2,0,1598,3196,6,0,0,1,0,0,1,0,0,0,0,0,0,0,252.5,28
